pl_hostname|pl_letter|pl_orbper|pl_tranmid|pl_trandur|st_teff|st_rad|st_mass|st_j|ra|dec|pl_rade|pl_radeerr1|pl_radeerr2|pl_ratdor|pl_rvamp|pl_masse|pl_masseerr1|pl_masseerr2|pl_ratror|pl_imppar|st_dist|st_disterr1|st_disterr2|pl_tranflag
Kepler-323|b|1.67832700|2454969.053070|0.0983000|5987.00|1.18|1.09|11.689|291.382240|38.127473|1.430|0.280|-0.280|||||||0.0900||||1
Kepler-323|c|3.55382200|2454967.640780|0.1271000|5987.00|1.18|1.09|11.689|291.382240|38.127473|1.630|0.320|-0.320|||||||0.1000||||1
Kepler-172|e|35.11873600|2454985.119350|0.1483000|5526.00|1.08|0.86|13.170|283.368413|41.821857|2.760|0.560|-0.560|||||||0.6000||||1
Kepler-173|b|4.26374200|2454966.720310|0.0942000|6031.00|0.95|0.78|13.081|294.646695|41.884106|1.290|0.640|-0.640|||||||0.2500||||1
Kepler-173|c|8.00577700|2455003.503400|0.1304000|6031.00|0.95|0.78|13.081|294.646695|41.884106|2.430|1.210|-1.210|||||||0.3700||||1
Kepler-174|c|44.00052900|2455043.759080|0.2157000|4880.00|0.62||12.791|287.439194|43.832092|1.490|0.090|-0.090|||||||0.1100||||1
Kepler-174|d|247.35373000|2455197.158750|0.3655000|4880.00|0.62||12.791|287.439194|43.832092|2.190|0.130|-0.130|||||||0.0900||||1
Kepler-175|b|11.90351500|2455011.340820|0.1756000|6064.00|1.01|1.04|13.773|289.553283|43.876183|2.560|1.280|-1.280|||||||0.0900||||1
Kepler-176|b|5.43307400|2454971.369670|0.1003000|5232.00|0.89||13.097|294.667956|43.853259|1.430|0.730|-0.730|||||||0.0700||||1
Kepler-176|c|12.75971200|2455003.310620|0.1475000|5232.00|0.89||13.097|294.667956|43.853259|2.600|1.330|-1.330|||||||0.4700||||1
Kepler-176|d|25.75197400|2454969.449510|0.1189000|5232.00|0.89||13.097|294.667956|43.853259|2.510|1.320|-1.320|||||||0.6600||||1
Kepler-177|c|49.41200000|||5942.00|1.07|1.07|13.858|286.047132|45.053207|7.100|3.710|-0.720|||7.50000|3.50000|-3.10000||||||1
