pl_hostname|pl_letter|pl_orbper|pl_tranmid|pl_trandur|st_teff|st_rad|st_mass|st_j|ra|dec|pl_rade|pl_radeerr1|pl_radeerr2|pl_ratdor|pl_rvamp|pl_masse|pl_masseerr1|pl_masseerr2|pl_ratror|pl_imppar|st_dist|st_disterr1|st_disterr2|pl_tranflag
HATS-28|b|3.18107810|2457034.283000|0.0981000|5498.00|0.92|0.93|12.522|284.399685|-49.138470|13.384|0.785|-0.785|9.630000|97.000|213.58176|27.65121|-27.65121|0.13310|0.6430|521.00|25.00|-25.00|1
Kepler-930|b|71.45177750|2454981.813200|0.2510000|6335.00|1.40|1.25|12.641|298.314444|42.247434|2.130|0.920|-0.420||||||0.01417||905.00|386.74|-187.11|1
Kepler-935|b|4.88083852|2454969.197780|0.1045920|4830.00|0.73|0.78|13.292|295.021668|46.619217|1.350|0.080|-0.070||||||0.01687||482.00|22.99|-25.06|1
Kepler-938|b|52.62984170|2454988.611530|0.2485000|5533.00|0.89|0.92|13.741|294.789143|46.983990|2.220|0.250|-0.160||||||0.02307||861.00|94.09|-63.98|1
Kepler-94|b|2.50806000|2454967.999800||4781.00|0.76|0.81|11.181|281.194747|47.497148|3.510|0.150|-0.150||6.110|10.84000|1.40000|-1.40000|0.04238|0.8500||||1
Kepler-944|b|43.31677370|2454969.573380|0.2110400|5409.00|0.83|0.86|14.364|293.601262|42.379761|2.630|0.270|-0.210||||||0.02869||1035.00|98.99|-84.47|1
Kepler-949|b|8.68930730|2454966.661087|0.1079710|5403.00|0.86|0.89|13.063|298.607876|46.453682|2.910|0.360|-0.230||||||0.03096||572.00|74.23|-50.82|1
Kepler-953|b|88.40655258|2455009.275572|0.5128040|5416.00|0.99|0.95|10.770|288.971662|44.624531|4.210|0.370|-0.330||||||0.03920||240.00|20.99|-17.50|1
Kepler-963|b|9.97683705|2454964.766740|0.1424600|5461.00|0.87|0.91|13.652|296.752973|45.041100|2.660|0.300|-0.190||||||0.02847||786.00|93.61|-60.70|1
Kepler-967|c|198.71125020|2454989.517390|0.3557250|5178.00|0.80|0.84|12.991|286.558075|38.405360|3.650|0.150|-0.130||||||0.04173||499.00|18.68|-18.00|1
Kepler-969|c|1.68293460|2454964.968030|0.0780710|5214.00|0.82|0.92|12.413|288.372508|47.933556|0.990|0.020|-0.050||||||0.01119||411.00|7.89|-7.61|1
Kepler-974|b|4.19449651|2454967.134290|0.0770080|3687.00|0.50|0.52|11.951|285.013102|40.220753|1.570|0.060|-0.290||||||0.02939||121.00|6.44|-6.49|1
Kepler-979|b|8.08801350|2454971.736150|0.0740330|5310.00|0.83|0.87|13.257|300.371281|46.408276|2.720|0.420|-0.230||||||0.03034||606.00|62.21|-42.17|1
Kepler-983|b|60.08550820|2454986.254860|0.2887100|6052.00|1.08|1.13|12.456|285.104060|45.008167|2.360|0.070|-0.180||||||0.02024||655.00|23.02|-23.32|1
Kepler-988|b|17.76080053|2454970.506280|0.0702500|4005.00|0.53|0.55|13.138|290.708386|42.237251|2.070|0.470|-0.160||||||0.03554||248.00|14.06|-13.39|1
Kepler-992|b|20.16034462|2454977.343900|0.1592290|4944.00|0.74|0.80|11.899|284.430280|47.641785|1.620|0.040|-0.270||||||0.02024||268.00|6.79|-7.68|1
Kepler-997|b|2.70730672|2454965.430960|0.1442620|6150.00|1.56|1.22|10.929|289.233369|49.938934|1.360|0.330|-0.260||||||0.00791||470.00|112.98|-88.85|1
OGLE-2011-BLG-0251L|b||||||0.26||264.559083|-27.136139||||||168.44000|66.74000|-66.74000|||2570.00|610.00|-610.00|0
WASP-126|b|3.28880000|2456890.319100|0.1420000|5800.00|1.27|1.12|9.962|63.373865|-69.226807|10.761|1.121|-0.560|7.634000|36.000|88.99240|12.71320|-12.71320||0.3000|234.00|15.00|-15.00|1
WASP-84|b|8.52348650|2454286.105830|0.1145200|5314.00|0.75|0.84|9.346|131.107099|1.860033|10.559|0.247|-0.247||77.400|220.56500|8.89900|-8.89900||0.6320|125.00|20.00|-20.00|1
EPIC 220674823|b|0.57130800|2457437.429480||5590.00|0.83|0.93|10.770|13.079780|10.794699|1.460|0.140|-0.140|2.800000|||||0.01610|||||1
EPIC 220674823|c|13.34124500|2457405.731240||5590.00|0.83|0.93|10.770|13.079780|10.794699|2.530|0.140|-0.140|16.600000|||||0.02800|||||1
HD 106315|b|9.55385000|2457615.205700|0.1590000|6254.00|1.28|1.03|8.116|183.472473|-0.393484|2.400|0.120|-0.120|14.860000|||||0.01717|0.6300||||1
HD 106315|c|21.05800000|2457611.132800|0.1970000|6254.00|1.28|1.03|8.116|183.472473|-0.393484|4.400|0.250|-0.270|25.690000|||||0.03207|0.6880||||1
HAT-P-67|b|4.81010250|2455961.384670|0.2912000|6406.00|2.55|1.64|9.145|256.610687|44.776981|23.371|1.076|-0.796|5.691000|36.000|108.06220|79.45750|-60.38770|0.08340|0.1200|320.00|48.00|-14.00|1
K2-111|b|5.35117000|2457067.970400|0.1408333|5730.00|1.23|0.88|9.768|59.889755|21.298685|1.900|0.200|-0.200|9.590000|3.100|8.60000|3.90000|-3.90000|0.01255|0.6330||||1
OGLE-2016-BLG-1195L|b||||||0.08||268.847931|-30.207251||||||1.43000|0.45000|-0.32000|||3910.00|420.00|-460.00|0
Kepler-103|c|179.61200000|2455128.325810||5845.00|1.44|1.09|11.193|288.984555|40.064521|5.140|0.140|-0.140||3.850|36.10000|25.20000|-25.20000|0.03277|0.4400||||1
OGLE-2006-BLG-109L|b|1788.50000000|||||0.51||268.143792|-30.087778|||||17.400|231.00000|19.00000|-19.00000|||1510.00|110.00|-120.00|0
OGLE-2006-BLG-109L|c|4927.50000000|||||0.51||268.143792|-30.087778|||||4.500|86.00000|7.00000|-7.00000|||1510.00|110.00|-120.00|0
OGLE-2008-BLG-092L|b||||||0.71||266.872583|-34.726556||||||56.60000|||||8100.00|||0
OGLE-2008-BLG-355L|b||||||0.37||269.786708|-30.759472||||||1462.00000|1175.90000|-699.20000|||6800.00|1100.00|-1100.00|0
OGLE-2012-BLG-0026L|b||||||1.06||263.577917|-27.142750||||||46.08535|2.60621|-2.60621|||4019.00|380.00|-380.00|0
OGLE-2012-BLG-0026L|c||||||1.06||263.577917|-27.142750||||||273.33380|19.06980|-19.06980|||4019.00|380.00|-380.00|0
OGLE-2012-BLG-0406L|b||||||0.44||268.325708|-30.471167||||||867.64000|136.66000|-136.66000|||4970.00|290.00|-290.00|0
OGLE-2013-BLG-0102L|b||||||0.10||268.029500|-31.690583||||||3994.48600|665.74800|-665.74800|||3040.00|310.00|-310.00|0
OGLE-2014-BLG-0124L|b||||||0.71||270.621708|-28.396250||||||162.09000|50.85000|-50.85000|||4100.00|590.00|-590.00|0
OGLE2-TR-L9|b|2.48553350|2454492.797650||6933.00|1.53|1.52|13.508|166.979921|-61.146263|18.046|0.448|-0.448|||1430.17500|476.72500|-476.72500||||||1
OGLE-TR-056|b|1.21191890|||6050.00|1.36|1.23||269.147958|-29.539222|15.278|0.009|-0.009|3.740000|225.000|441.77000|57.21000|-54.03000|0.10270|0.8170||||1
OGLE-TR-111|b|4.01444630|2454092.807170|0.1116542|5040.00|0.83|0.85||163.324625|-61.405639|11.422|0.291|-0.291|12.300000|||||0.12610|0.3500||||1
OGLE-TR-113|b|1.43247520|||4790.00|0.77|0.78||163.101667|-61.446806|12.251|0.314|-0.213|||400.44900|50.85100|-50.85100|||600.00|||1
OGLE-TR-132|b|1.68986800|||6210.00|1.32|1.30||162.644667|-61.957194|13.450|1.680|-1.230|4.760000|167.000|375.02000|44.49000|-41.32000|0.09320|0.5600|2500.00|250.00|-250.00|1
